"rank","net_worth","category","personName","age","country","city","source","industries","countryOfCitizenship","organization","selfMade","gender","title","state","residenceStateRegion","cpi_country","cpi_change_country","gdp_country","gross_tertiary_education_enrollment","gross_primary_education_enrollment_country","life_expectancy_country","tax_revenue_country_country","total_tax_rate_country","population_country","latitude_country","longitude_country","gdp_country_numeric","log_net_worth","log_cpi_country","log_cpi_change_country","log_gross_primary_education_enrollment_country","exp_life_expectancy_country","exp_latitude_country"
16,64400,"Technology","Mark Zuckerberg",38,"United States","Palo Alto","Facebook","Technology","United States","Meta Platforms",TRUE,"M","Cofounder","California","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,11.0728689120924,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
17,59000,"Diversified","Charles Koch & family",87,"United States","Wichita","Koch Industries","Diversified","United States","Koch Industries, Inc.",FALSE,"M","Chairman and CEO","Kansas","Midwest",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.9852927228879,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
17,59000,"Diversified","Julia Koch & family",60,"United States","New York","Koch Industries","Diversified","United States","",FALSE,"F","","New York","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.9852927228879,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
19,58800,"Fashion & Retail","Jim Walton",74,"United States","Bentonville","Walmart","Fashion & Retail","United States","Arvest Bank Group, Inc.",FALSE,"M","Chairman and CEO","Arkansas","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.9818971338867,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
20,57600,"Fashion & Retail","Rob Walton & family",78,"United States","Bentonville","Walmart","Fashion & Retail","United States","Walmart",FALSE,"M","Director","Arkansas","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.961277846684,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
21,56700,"Fashion & Retail","Alice Walton",73,"United States","Fort Worth","Walmart","Fashion & Retail","United States","Crystal Bridges Museum of American Art",FALSE,"F","Philanthropist","Texas","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.9455294897158,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
22,54400,"Media & Entertainment","David Thomson & family",65,"Canada","Toronto","Media","Media & Entertainment","Canada","Thomson Reuters Corporation",FALSE,"M","Chairman","","",116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771,1736425629520,10.904119432844,4.76012054598591,1.56861591791385,4.61412992735956,2.51702317393374,2.56935306832805
23,50100,"Technology","Michael Dell",58,"United States","Austin","Dell Technologies","Technology","United States","Dell Inc.",TRUE,"M","Chairman and CEO","Texas","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.821776287073,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
24,47200,"Diversified","Gautam Adani",60,"India","Ahmedabad","Infrastructure, commodities","Diversified","India","",TRUE,"M","","","",180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,2.611e+12,10.7621491715736,5.1953983125402,2.36085400111802,4.72738781871234,1.6570132294805,1.81856822703354
25,45100,"Fashion & Retail","Phil Knight & family",85,"United States","Hillsboro","Nike","Fashion & Retail","United States","Nike",TRUE,"M","Chairman","Oregon","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.7166375254908,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
