"rank","net_worth","category","personName","age","country","city","source","industries","countryOfCitizenship","organization","selfMade","gender","title","state","residenceStateRegion","cpi_country","cpi_change_country","gdp_country","gross_tertiary_education_enrollment","gross_primary_education_enrollment_country","life_expectancy_country","tax_revenue_country_country","total_tax_rate_country","population_country","latitude_country","longitude_country","gdp_country_numeric","log_net_worth","log_cpi_country","log_cpi_change_country","log_gross_primary_education_enrollment_country","exp_life_expectancy_country","exp_latitude_country"
699,4000,"Healthcare","Jerzy Starak",75,"Poland","Konstancin","Pharmaceuticals","Healthcare","Poland","",TRUE,"M","","","",114.11,2.2,"$592,164,400,688 ",67.8,100,77.6,17.4,40.8,37970874,51.919438,19.145136,592164400688,8.29404964010203,4.73716289544659,1.62924053973028,4.60517018598809,2.17986775920698,2.46625704475032
699,4000,"Energy","Torbjorn Tornqvist",69,"Switzerland","Geneva","Oil trading","Energy","Sweden","",TRUE,"M","","","",99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,703082435360,8.29404964010203,4.60066003051021,1.19392246847243,4.65586330030361,2.66427802339218,2.34688867910816
699,4000,"Metals & Mining","Rufino Vigil Gonzalez",74,"Mexico","Mexico City","Steel","Metals & Mining","Mexico","",TRUE,"M","","","",141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784,1258286717125,8.29404964010203,4.95258236264764,1.87180217690159,4.6615505194242,1.99832172803885,1.8731515607626
699,4000,"Diversified","Zhang Daocai",73,"China","Shaoxing","Valves","Diversified","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.29404964010203,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
721,3900,"Manufacturing","Juergen Blickle",76,"Germany","Bruchsal","Auto parts","Manufacturing","Germany","",FALSE,"M","","","",112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,8.26873183211774,4.72605950326354,1.45861502269952,4.64439089914137,2.43423394896548,2.44824446910457
721,3900,"Food & Beverage","Austen Cargill, II.",72,"United States","Livingston","Cargill","Food & Beverage","United States","",FALSE,"M","","Montana","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.26873183211774,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
721,3900,"Food & Beverage","James Cargill, II.",73,"United States","Birchwood","Cargill","Food & Beverage","United States","",FALSE,"M","","Wisconsin","Midwest",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.26873183211774,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
721,3900,"Finance & Investments","Vanich Chaiyawan",91,"Thailand","Bangkok","Insurance, beverages","Finance & Investments","Thailand","",TRUE,"M","","","",113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541,543649976166,8.26873183211774,4.72977434921262,1.28093384546206,4.60316818331742,2.12942681551352,1.73691509179589
721,3900,"Finance & Investments","Chen Dongsheng",65,"China","Beijing","Insurance","Finance & Investments","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.26873183211774,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
721,3900,"Automotive","Mong-Koo Chung",85,"South Korea","Seoul","Hyundai","Automotive","South Korea","",FALSE,"M","","","",115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922,2.029e+12,8.26873183211774,4.74632246574398,1.19392246847243,4.58598736657132,2.57664533294226,2.11062338689072
721,3900,"Finance & Investments","Kenneth Dart",67,"Cayman Islands","George Town","Investments","Finance & Investments","Belize","",FALSE,"M","","","",,,"",,,,,,,,,,8.26873183211774,,,,,
721,3900,"Fashion & Retail","Giuseppe De'Longhi & family",83,"Italy","Treviso","Coffee makers","Fashion & Retail","Italy","",FALSE,"M","","","",110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738,2001244392042,8.26873183211774,4.70610090456653,1.25276296849537,4.62399194022868,2.60262809201719,2.23666691699077
721,3900,"Healthcare","Guenther Fielmann & family",83,"Germany","Hamburg","Optometry","Healthcare","Germany","",TRUE,"M","","","",112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,8.26873183211774,4.72605950326354,1.45861502269952,4.64439089914137,2.43423394896548,2.44824446910457
721,3900,"Energy","W. Herbert Hunt",94,"United States","Dallas","Oil","Energy","United States","",FALSE,"M","Investor","Texas","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.26873183211774,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
721,3900,"Sports","James Irsay",63,"United States","Carmel","Indianapolis Colts","Sports","United States","Indianapolis Colts",FALSE,"M","CEO","Indiana","Midwest",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.26873183211774,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
721,3900,"Diversified","Somurai Jaruphnit",,"Thailand","Bangkok","Diversified","Diversified","Thailand","",FALSE,"F","","","",113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541,543649976166,8.26873183211774,4.72977434921262,1.28093384546206,4.60316818331742,2.12942681551352,1.73691509179589
721,3900,"Food & Beverage","Marianne Liebmann",69,"United States","Bozeman","Cargill","Food & Beverage","United States","",FALSE,"F","","Montana","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.26873183211774,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
721,3900,"Healthcare","Jorge Moll Filho & family",78,"Brazil","Rio de Janeiro","Hospitals","Healthcare","Brazil","",TRUE,"M","","","",167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528,1839758040766,8.26873183211774,5.12038615805537,1.88706964903238,4.748404354074,2.04565711098374,1.29606183923249
721,3900,"Diversified","Fernando Roberto Moreira Salles",76,"Brazil","Sao Paulo","Banking, minerals","Diversified","Brazil","",FALSE,"M","","","",167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528,1839758040766,8.26873183211774,5.12038615805537,1.88706964903238,4.748404354074,2.04565711098374,1.29606183923249
721,3900,"Diversified","Pedro Moreira Salles",63,"Brazil","Sao Paulo","Banking, minerals","Diversified","Brazil","",FALSE,"M","","","",167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528,1839758040766,8.26873183211774,5.12038615805537,1.88706964903238,4.748404354074,2.04565711098374,1.29606183923249
721,3900,"Gambling & Casinos","Gabe Newell",60,"United States","Seattle","Videogames","Gambling & Casinos","United States","Valve Corporation",TRUE,"M","Cofounder and CEO","Washington","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.26873183211774,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
721,3900,"Fashion & Retail","Alfred Oetker",56,"Germany","Bielefeld","Consumer goods","Fashion & Retail","Germany","",FALSE,"M","","","",112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,8.26873183211774,4.72605950326354,1.45861502269952,4.64439089914137,2.43423394896548,2.44824446910457
721,3900,"Fashion & Retail","Carl Ferdinand Oetker",50,"Germany","Bielefeld","Consumer goods","Fashion & Retail","Germany","",FALSE,"M","","","",112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,8.26873183211774,4.72605950326354,1.45861502269952,4.64439089914137,2.43423394896548,2.44824446910457
721,3900,"Fashion & Retail","Julia Oetker",44,"Germany","Bielefeld","Consumer goods","Fashion & Retail","Germany","",FALSE,"F","","","",112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,8.26873183211774,4.72605950326354,1.45861502269952,4.64439089914137,2.43423394896548,2.44824446910457
721,3900,"Manufacturing","Ruan Hongliang & family",62,"China","Jiaxing","Glass","Manufacturing","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.26873183211774,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
721,3900,"Finance & Investments","Mark Stevens",63,"United States","Steamboat Springs","Venture capital","Finance & Investments","United States","",TRUE,"M","","Colorado","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.26873183211774,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
721,3900,"Finance & Investments","Tsai Hong-tu",70,"Taiwan","Taipei","Finance","Finance & Investments","Taiwan","",FALSE,"M","","","",,,"",,,,,,,,,,8.26873183211774,,,,,
721,3900,"Food & Beverage","Nusli Wadia",79,"India","Mumbai","Consumer goods","Food & Beverage","India","",FALSE,"M","","","",180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,2.611e+12,8.26873183211774,5.1953983125402,2.36085400111802,4.72738781871234,1.6570132294805,1.81856822703354
721,3900,"Healthcare","Wu Yiling",73,"China","Shijiazhuang","Pharmaceuticals","Healthcare","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.26873183211774,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
721,3900,"Manufacturing","Yu Renrong",57,"China","Ningbo","Semiconductors","Manufacturing","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.26873183211774,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
721,3900,"Healthcare","Zhu Baoguo & family",60,"China","Shenzhen","Pharmaceuticals","Healthcare","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.26873183211774,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
748,3800,"Service","Rahul Bhatia",63,"India","Delhi","Aviation","Service","India","",FALSE,"M","","","",180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,2.611e+12,8.24275634571448,5.1953983125402,2.36085400111802,4.72738781871234,1.6570132294805,1.81856822703354
748,3800,"Construction & Engineering","Francesco Gaetano Caltagirone",80,"Italy","Rome","Cement, diversified","Construction & Engineering","Italy","",TRUE,"M","","","",110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738,2001244392042,8.24275634571448,4.70610090456653,1.25276296849537,4.62399194022868,2.60262809201719,2.23666691699077
748,3800,"Media & Entertainment","Barry Diller",81,"United States","New York","Online media","Media & Entertainment","United States","",TRUE,"M","","New York","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.24275634571448,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
748,3800,"Finance & Investments","Wesley Edens",61,"United States","New York","Investments","Finance & Investments","United States","",TRUE,"M","","New York","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.24275634571448,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
748,3800,"Finance & Investments","Stephen Feinberg",63,"United States","New York","Private equity","Finance & Investments","United States","Cerberus Capital Management",TRUE,"M","Co-founder and CEO","New York","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.24275634571448,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
748,3800,"Service","Rakesh Gangwal",69,"United States","Miami","Airline","Service","United States","",TRUE,"M","","Florida","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.24275634571448,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
748,3800,"Food & Beverage","Joseph Grendys",61,"United States","Chicago","Poultry processing","Food & Beverage","United States","",TRUE,"M","","Illinois","Midwest",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.24275634571448,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
748,3800,"Media & Entertainment","Martha Ingram & family",87,"United States","Nashville","Book distribution, transportation","Media & Entertainment","United States","Ingram Industries, Inc.",FALSE,"F","Former Chairman","Tennessee","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.24275634571448,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
748,3800,"Automotive","Li Xiang",41,"China","Beijing","Electric vehicles","Automotive","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.24275634571448,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
748,3800,"Real Estate","H. Ross Perot, Jr.",64,"United States","Dallas","Real estate","Real Estate","United States","",FALSE,"M","","Texas","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.24275634571448,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
748,3800,"Real Estate","Chandru Raheja",82,"India","Mumbai","Real estate","Real Estate","India","",FALSE,"M","","","",180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,2.611e+12,8.24275634571448,5.1953983125402,2.36085400111802,4.72738781871234,1.6570132294805,1.81856822703354
748,3800,"Energy","Trevor Rees-Jones",71,"United States","Dallas","Oil & gas","Energy","United States","",TRUE,"M","","Texas","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.24275634571448,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
748,3800,"Telecom","Yasumitsu Shigeta",58,"Japan","Tokyo","Mobile phone retailer","Telecom","Japan","",TRUE,"M","","","",105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,5081769542380,8.24275634571448,4.65852136148509,1.22377543162212,4.59309760475382,2.71828182845905,2.11672992888406
748,3800,"Healthcare","Su Qingcan",54,"China","Xiamen","Healthcare","Healthcare","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.24275634571448,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
748,3800,"Finance & Investments","Tsai Cheng-ta",73,"Taiwan","Taipei","Finance","Finance & Investments","Taiwan","",FALSE,"M","","","",,,"",,,,,,,,,,8.24275634571448,,,,,
748,3800,"Service","Steven Udvar-Hazy",77,"United States","Westlake","Aircraft leasing","Service","United States","Air Lease Corp.",TRUE,"M","CEO and Chairman","Texas","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.24275634571448,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
748,3800,"Manufacturing","Elizabeth Uihlein",77,"United States","Lake Forest","Packaging materials","Manufacturing","United States","",TRUE,"F","Entrepreneur","Illinois","Midwest",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.24275634571448,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
748,3800,"Manufacturing","Richard Uihlein",77,"United States","Lake Forest","Packaging materials","Manufacturing","United States","",TRUE,"M","","Illinois","Midwest",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.24275634571448,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Finance & Investments","Hayes Barnard",51,"United States","Austin","Fintech","Finance & Investments","United States","",TRUE,"M","","Texas","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.21608809863232,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Finance & Investments","William Berkley",76,"United States","Coconut Grove","Insurance","Finance & Investments","United States","WR Berkley",TRUE,"M","Chairman and CEO","Florida","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.21608809863232,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Real Estate","Charles Cohen",71,"United States","New York","Real estate","Real Estate","United States","",FALSE,"M","","New York","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.21608809863232,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Real Estate","Yakir Gabay",56,"United Kingdom","London","Real estate","Real Estate","Cyprus","",TRUE,"M","","","",119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,2827113184696,8.21608809863232,4.78432005161641,1.52605630349505,4.61709875685337,2.46701775234324,2.55062304100837
766,3700,"Technology","Huang Li",59,"China","Wuhan","Imaging systems","Technology","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.21608809863232,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
766,3700,"Logistics","Brad Jacobs",66,"United States","Greenwich","Logistics","Logistics","United States","",TRUE,"M","","Connecticut","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.21608809863232,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Real Estate","Ji Qi",56,"China","Shanghai","Hotels, motels","Real Estate","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.21608809863232,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
766,3700,"Media & Entertainment","Jason Jiang",50,"China","Shanghai","Advertising","Media & Entertainment","Singapore","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.21608809863232,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
766,3700,"Technology","Jim Kavanaugh",60,"United States","St. Louis","IT provider","Technology","United States","",TRUE,"M","","Missouri","Midwest",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.21608809863232,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Real Estate","Richard LeFrak & family",77,"United States","New York","Real estate","Real Estate","United States","",FALSE,"M","","New York","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.21608809863232,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Finance & Investments","Mikhail Lomtadze",47,"Kazakhstan","Almaty","Fintech","Finance & Investments","Georgia","",TRUE,"M","","","",182.75,5.2,"$180,161,741,180 ",61.7,104.4,73.2,11.7,28.4,18513930,48.019573,66.923684,180161741180,8.21608809863232,5.20811909862989,2.09186406167839,4.64822967544854,1.88157091951192,2.3744701208077
766,3700,"Fashion & Retail","Tom Morris",68,"United Kingdom","Merseyside","Retail","Fashion & Retail","United Kingdom","",TRUE,"M","","","",119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,2827113184696,8.21608809863232,4.78432005161641,1.52605630349505,4.61709875685337,2.46701775234324,2.55062304100837
766,3700,"Manufacturing","Shigenobu Nagamori",78,"Japan","Kyoto","Motors","Manufacturing","Japan","",TRUE,"M","","","",105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,5081769542380,8.21608809863232,4.65852136148509,1.22377543162212,4.59309760475382,2.71828182845905,2.11672992888406
766,3700,"Finance & Investments","Daniel Och",62,"United States","Miami Beach","Hedge funds","Finance & Investments","United States","Och-Ziff Capital Management",TRUE,"M","Founder","Florida","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.21608809863232,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Fashion & Retail","Horst Paulmann & family",88,"Chile","Santiago","Retail","Fashion & Retail","Chile","",TRUE,"M","","","",131.91,2.6,"$282,318,159,745 ",88.5,101.4,80,18.2,34,18952038,-35.675147,-71.542969,282318159745,8.21608809863232,4.88211987186083,1.70474809223843,4.61907309115708,2.36205445606552,1.05213206401598
766,3700,"Service","Anthony Pritzker",62,"United States","Los Angeles","Hotels, investments","Service","United States","",FALSE,"M","","California","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.21608809863232,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Technology","John Sall",75,"United States","Cary","Software","Technology","United States","SAS Institute",TRUE,"M","Co-Founder, Executive Vice President","North Carolina","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.21608809863232,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Food & Beverage","Howard Schultz",69,"United States","Seattle","Starbucks","Food & Beverage","United States","",TRUE,"M","","Washington","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.21608809863232,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Fashion & Retail","Richard Schulze",82,"United States","Naples","Best Buy","Fashion & Retail","United States","Best Buy Co. Inc.",TRUE,"M","Chairman","Florida","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.21608809863232,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
766,3700,"Real Estate","Yitzhak Tshuva",74,"Israel","Netanya","Real estate","Real Estate","Israel","",TRUE,"M","","","",108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300,31.046051,34.851612,395098666122,8.21608809863232,4.68351915239907,1.30833281965018,4.65300751540225,2.5939381899468,2.01315236281317
766,3700,"Manufacturing","Wang Yanqing & family",56,"China","Wuxi","Electrical equipment","Manufacturing","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,8.21608809863232,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
787,3600,"Diversified","Rajiv Bajaj",56,"India","Pune","Diversified","Diversified","India","",FALSE,"M","","","",180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,2.611e+12,8.1886891244442,5.1953983125402,2.36085400111802,4.72738781871234,1.6570132294805,1.81856822703354
787,3600,"Diversified","Sanjiv Bajaj",53,"India","Pune","Diversified","Diversified","India","",FALSE,"M","","","",180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,2.611e+12,8.1886891244442,5.1953983125402,2.36085400111802,4.72738781871234,1.6570132294805,1.81856822703354
787,3600,"Finance & Investments","Leonid Boguslavsky",71,"Italy","Florence","Venture capital","Finance & Investments","Canada","",TRUE,"M","","","",110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738,2001244392042,8.1886891244442,4.70610090456653,1.25276296849537,4.62399194022868,2.60262809201719,2.23666691699077
787,3600,"Finance & Investments","Jim Coulter",63,"United States","San Francisco","Private equity","Finance & Investments","United States","",TRUE,"M","","California","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,8.1886891244442,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
787,3600,"Automotive","Nicolas D'Ieteren",47,"Switzerland","Anzere","Auto parts, distribution","Automotive","Belgium","",FALSE,"M","","","",99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,703082435360,8.1886891244442,4.60066003051021,1.19392246847243,4.65586330030361,2.66427802339218,2.34688867910816
787,3600,"Food & Beverage","Beatriz Davila de Santo Domingo",84,"Bermuda","","Beer","Food & Beverage","Colombia","",FALSE,"F","","","",,,"",,,,,,,,,,8.1886891244442,,,,,
787,3600,"Real Estate","Bob Gaglardi",82,"Canada","Vancouver","Hotels","Real Estate","Canada","",TRUE,"M","","","",116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771,1736425629520,8.1886891244442,4.76012054598591,1.56861591791385,4.61412992735956,2.51702317393374,2.56935306832805
787,3600,"Finance & Investments","Jaime Gilinski Bacal",65,"United Kingdom","London","Banking","Finance & Investments","Colombia","",FALSE,"M","Investor","","",119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,2827113184696,8.1886891244442,4.78432005161641,1.52605630349505,4.61709875685337,2.46701775234324,2.55062304100837
787,3600,"Gambling & Casinos","Pansy Ho",60,"Hong Kong","Hong Kong","Casinos","Gambling & Casinos","Hong Kong","",FALSE,"F","","","",,,"",,,,,,,,,,8.1886891244442,,,,,
