"variable","family","variance_explained","p_value"
"status","categorical",0.106308175846519,2.33452338576094e-68
"country","categorical",0.0354088760771685,1.34341817910265e-14
"countryOfCitizenship","categorical",0.03259892000587,2.25417408524904e-13
"category","categorical",0.0187952007158737,1.59133454297329e-05
"birthYear","continuous",0.0177516116684244,1.25774461996183e-11
"selfMade","categorical",0.00304049318940551,0.0049757686027138
"gender","categorical",0.000118964326985656,0.58066374623236
