"variable","test","n","groups","statistic","numerator_df","denominator_df","p_value","variance_explained","highest_group","highest_group_mean_log_net_worth"
"category","Welch ANOVA",2640,18,3.23170735980753,17,453.552350979091,1.59133454297329e-05,0.0187952007158737,"Metals & Mining",8.16456312246348
"country","Welch ANOVA",2640,12,9.21839945272932,11,361.87435746801,1.34341817910265e-14,0.0354088760771685,"Switzerland",8.1647813483429
"countryOfCitizenship","Welch ANOVA",2640,11,9.02202826521407,10,379.274815221684,2.25417408524904e-13,0.03259892000587,"Hong Kong",8.12644231405537
"selfMade","Welch t-test equivalent",2640,2,7.91059421085097,1,1570.30187911502,0.0049757686027138,0.00304049318940551,"FALSE",7.99736727596704
"gender","Welch t-test equivalent",2640,2,0.305619707055199,1,436.311035578403,0.58066374623236,0.000118964326985656,"F",7.95382106667034
"status","Welch ANOVA",2640,6,108.621036486134,5,341.016078317043,2.33452338576094e-68,0.106308175846519,"U",8.23368251622499
