match_date,league,home_team,away_team,home_score,away_score,avg_odds_home_win,avg_odds_draw,avg_odds_away_win,result,p_home,p_draw,p_away
2005-02-01,England: Premier League,Bolton,Tottenham,3,1,2.21,3.225,3.012,H,0.4133934419322591,0.28328666873497443,0.30331988933276643
2005-02-01,England: Premier League,Charlton,Liverpool,1,2,2.741,3.199,2.384,A,0.33260397919371615,0.28498515378867645,0.3824108670176074
2005-02-02,England: Premier League,Birmingham,Southampton,2,1,1.8656,3.2822,3.8833,H,0.4880869243588079,0.2774282390115751,0.23448483662961705
2005-02-02,England: Premier League,Fulham,Aston Villa,1,1,2.2489,3.1856,2.9433,D,0.40485298903793204,0.2858092312429073,0.30933777971916065
2005-02-02,England: Premier League,Manchester City,Newcastle Utd,1,1,2.3078,3.2133,2.84,D,0.3951307086895155,0.28378385134088446,0.3210854399696
2005-02-02,England: Premier League,Blackburn,Chelsea,0,1,6.77,3.75,1.4667,A,0.13475023166713312,0.24326908490306431,0.6219806834298025
2005-02-02,England: Premier League,Everton,Norwich,1,0,1.5244,3.5711,6.1722,H,0.5974252194949052,0.2550236634644881,0.14755111704060683
2005-02-05,England: Premier League,Crystal Palace,Bolton,0,1,2.513,3.19,2.607,A,0.3634093947214476,0.28628457960344766,0.35030602567510466
2005-02-05,England: Premier League,Liverpool,Fulham,3,1,1.4644,3.7,7.0078,H,0.6231496604199821,0.24663253046460046,0.13021780911541736
2005-02-05,England: Premier League,Manchester United,Birmingham,2,0,1.246,4.965,9.9,H,0.7263138436495803,0.1822733230991696,0.0914128332512502
2005-02-05,England: Premier League,Middlesbrough,Blackburn,1,0,1.89,3.1722,3.9733,H,0.4827475318079994,0.28762147251658743,0.22963099567541306
2005-02-05,England: Premier League,Newcastle Utd,Charlton,1,1,1.765,3.349,4.368,D,0.5178400872216891,0.2729136321129535,0.20924628066535741
2005-02-05,England: Premier League,Norwich,West Brom,3,2,2.213,3.178,3.049,H,0.41285436138183296,0.28749109557520336,0.2996545430429637
2005-02-05,England: Premier League,Tottenham,Portsmouth,3,1,1.6844,3.3711,4.8644,H,0.5417324306759458,0.270681411477133,0.18758615784692112
2005-02-05,England: Premier League,Aston Villa,Arsenal,1,3,4.356,3.349,1.773,A,0.21019268185526893,0.27339484089625304,0.5164124772484779
2005-02-06,England: Premier League,Southampton,Everton,2,2,2.591,3.188,2.538,D,0.3529057395121343,0.28681893697488703,0.3602753235129787
2005-02-06,England: Premier League,Chelsea,Manchester City,0,0,1.236,5.138,9.76,D,0.7314219517366247,0.17595125191640096,0.0926267963469742
2005-02-12,England: Premier League,Everton,Chelsea,0,1,4.458,3.245,1.783,A,0.20516665940324302,0.28185915797215944,0.5129741826245976
2005-02-12,England: Premier League,Birmingham,Liverpool,2,0,3.19,3.19,2.14,H,0.28647925033467203,0.28647925033467203,0.42704149933065594
2005-02-12,England: Premier League,Blackburn,Norwich,3,0,1.765,3.254,4.565,H,0.5183907406182751,0.28117998069798883,0.20042927868373614
2005-02-12,England: Premier League,Portsmouth,Aston Villa,1,2,2.208,3.208,3.024,A,0.41349002406010116,0.2845966250388726,0.3019133509010263
2005-02-12,England: Premier League,Bolton,Middlesbrough,0,0,2.0544,3.1889,3.3667,D,0.44356786185878505,0.2857618035694716,0.2706703345717432
2005-02-13,England: Premier League,Manchester City,Manchester United,0,2,4.6156,3.2478,1.7522,A,0.19781138307496643,0.28111897891520876,0.5210696380098248
2005-02-14,England: Premier League,Arsenal,Crystal Palace,5,1,1.196,5.469,9.99,H,0.7471569563890645,0.16339362220539788,0.08944942140553765
2005-02-22,England: Premier League,West Brom,Southampton,0,0,2.2444,3.2033,2.9411,D,0.40588232374446154,0.28438244541943297,0.3097352308361054
2005-02-26,England: Premier League,Southampton,Arsenal,1,1,5.663,3.537,1.57,D,0.16108037960515842,0.25790166516935603,0.5810179552254855
2005-02-26,England: Premier League,Aston Villa,Everton,1,3,2.1944,3.1611,3.0811,A,0.4155581821167137,0.2884758074204918,0.2959660104627946
2005-02-26,England: Premier League,Crystal Palace,Birmingham,2,0,2.4811,3.1778,2.6411,H,0.36762280439469375,0.2870252816362498,0.34535191396905635
2005-02-26,England: Premier League,Tottenham,Fulham,2,0,1.778,3.265,4.415,H,0.513536419556598,0.2796532171429192,0.20681036330048272
2005-02-26,England: Premier League,Manchester United,Portsmouth,2,1,1.205,5.42,9.99,H,0.7446319424436687,0.1655500905248378,0.08981796703149357
2005-02-27,England: Premier League,Newcastle Utd,Bolton,2,1,1.873,3.264,3.922,H,0.4874723856323264,0.27972909874060886,0.23279851562706458
2005-02-27,England: Premier League,Middlesbrough,Charlton,2,2,1.9,3.215,3.876,D,0.4804975969991795,0.28396436525612473,0.23553803774469587
2005-02-28,England: Premier League,Norwich,Manchester City,2,3,2.6367,3.15,2.5244,A,0.3470374443690318,0.29048686652946853,0.36247568910149974
2005-03-05,England: Premier League,Aston Villa,Middlesbrough,2,0,2.251,3.195,2.957,H,0.40555071657438885,0.28572602911078226,0.30872325431482894
2005-03-05,England: Premier League,Arsenal,Portsmouth,3,0,1.339,4.239,8.824,H,0.6813745328851257,0.21523012491936386,0.10339534219551035
2005-03-05,England: Premier League,Crystal Palace,Manchester United,0,0,7.095,3.775,1.45,D,0.12865751363992936,0.2418079627219335,0.6295345236381372
2005-03-05,England: Premier League,Fulham,Charlton,0,0,2.282,3.18,2.925,D,0.40035535492235,0.2872990314254097,0.3123456136522403
2005-03-05,England: Premier League,Newcastle Utd,Liverpool,1,0,2.331,3.185,2.842,H,0.391839522487342,0.28677485931491187,0.321385618197746
2005-03-05,England: Premier League,Southampton,Tottenham,1,0,2.462,3.183,2.679,H,0.3714042826976074,0.2872753201387086,0.341320397163684
2005-03-05,England: Premier League,Norwich,Chelsea,1,3,8.149,3.992,1.385,A,0.11204372350208153,0.2287185127300757,0.6592377637678428
2005-03-06,England: Premier League,West Brom,Birmingham,2,0,2.5856,3.0978,2.58,H,0.352506466008502,0.29422193766917903,0.35327159632231886
2005-03-06,England: Premier League,Everton,Blackburn,0,1,1.72,3.309,4.753,A,0.531442472553092,0.2762408742191955,0.1923166532277126
2005-03-07,England: Premier League,Manchester City,Bolton,0,1,2.301,3.156,2.886,A,0.39582252865147405,0.28858923904532374,0.3155882323032023
2005-03-15,England: Premier League,Chelsea,West Brom,1,0,1.1536,6.0191,9.99,H,0.7650336560482714,0.146623718764813,0.0883426251869155
2005-03-16,England: Premier League,Charlton,Tottenham,2,0,2.3173,3.2009,2.8318,H,0.3933498576105724,0.28476666720015603,0.32188347518927163
2005-03-16,England: Premier League,Liverpool,Blackburn,0,0,1.54,3.5109,6.1427,D,0.5919478320424304,0.2596484267126215,0.14840374124494812
2005-03-19,England: Premier League,Blackburn,Arsenal,0,1,4.266,3.29,1.792,A,0.21380144368774998,0.2772270391404077,0.5089715171718423
2005-03-19,England: Premier League,Charlton,West Brom,1,4,1.6527,3.42,5.0273,A,0.5518792225234398,0.2666932137615465,0.1814275637150138
2005-03-19,England: Premier League,Chelsea,Crystal Palace,4,1,1.1873,5.5891,9.99,H,0.7511566751297041,0.159569218726002,0.08927410614429405
2005-03-19,England: Premier League,Manchester United,Fulham,1,0,1.2227,5.1855,10.31,H,0.7383421072938597,0.17409524531640191,0.08756264738973833
2005-03-19,England: Premier League,Portsmouth,Newcastle Utd,1,1,2.7318,3.1664,2.4209,D,0.3343173798051639,0.28843109466641825,0.3772515255284178
2005-03-19,England: Premier League,Tottenham,Manchester City,2,1,1.8191,3.2373,4.21,H,0.5015022136971279,0.2818035637526474,0.21669422255022455
2005-03-19,England: Premier League,Bolton,Norwich,1,0,1.5409,3.53,6.07,H,0.5915862455114255,0.2582366135151715,0.15017714097340287
2005-03-20,England: Premier League,Birmingham,Aston Villa,2,0,2.2955,3.0545,3.0109,H,0.39778659050060067,0.2989422551953278,0.3032711543040715
2005-03-20,England: Premier League,Middlesbrough,Southampton,1,3,1.965,3.178,3.632,A,0.46310497458970107,0.2863440135521594,0.25055101185813944
2005-03-20,England: Premier League,Liverpool,Everton,2,1,1.8336,3.1627,4.2836,H,0.49805534941531826,0.2887514745906749,0.2131931759940068
